MATRICULA;EMPRESA;TITULO DO CARGO;DESC. SITUACAO;Sindicato
34941;1410;TECH RECRUITER II;Trabalhando;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
24401;1410;COORDENADOR ADMINISTRATIVO;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32104;1410;ANALISTA CONTABIL-FISCAL II;Férias;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35254;1410;ANALISTA CONTABIL-FISCAL II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31731;1410;ANALISTA CONTABIL-FISCAL III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31009;1410;ANALISTA DE CONTROLADORIA I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
28979;1410;ANALISTA DE CONTROLADORIA II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
24122;1410;GERENTE CONTABIL-FISCAL;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35149;1410;ASSISTENTE CONTABIL-FISCAL;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25022;1410;COORDENADOR CONTABIL-FISCAL;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32130;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32213;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34597;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25314;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31868;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26314;1410;ASSISTENTE DE ADMINISTRACAO DE PESSOAS;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
