matricula;EMPRESA;TITULO DO CARGO;DESC. SITUACAO_principal;sindicato;DIAS DE FÉRIAS;DATA DEMISSÃO;COMUNICADO DE DESLIGAMENTO;Admissão;cargo_admissao;elegivel_beneficio;DESC. SITUACAO_afastamento;estado_sindicato;valor_sindicato;dias_uteis;deve_receber_beneficio;DIAS A RECEBER
20792;1410.0;GERENTE DE OPERACOES II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
21827;1410.0;DESENVOLVEDOR III;Trabalhando;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;;;;Sim;;;;22.0;True;22.0
23499;1410.0;COORDENADOR FINANCEIRO;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
23836;1410.0;GERENTE DE OPERACOES I;Trabalhando;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;;;;Sim;;Rio de Janeiro;R$ 35.00;21.0;True;21.0
24122;1410.0;GERENTE CONTABIL-FISCAL;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24316;1410.0;ARQUITETO DE SOFTWARE II;Trabalhando;SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA;;;;;;Sim;;;;22.0;True;22.0
24401;1410.0;COORDENADOR ADMINISTRATIVO;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24442;1410.0;ANALISTA DE SISTEMAS E NEGOCIOS II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24472;1410.0;DELIVERY MANAGER;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24475;1410.0;ANALISTA DE SISTEMAS E NEGOCIOS II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24490;1410.0;DESENVOLVEDOR III;Trabalhando;SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO;;;;;;Sim;;Rio de Janeiro;R$ 35.00;21.0;True;21.0
24505;1410.0;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24511;1410.0;CONSULTOR FUNCIONAL SAP III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24561;1410.0;COORDENADOR DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24685;1410.0;EXECUTIVO DE CONTAS III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24715;1410.0;CONSULTOR FUNCIONAL SAP III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24778;1410.0;GERENTE DE PROJETOS II;Trabalhando;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;;;;;;Sim;;;;22.0;True;22.0
24820;1410.0;EXECUTIVO DE CONTAS ESPECIALISTA;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
24899;1410.0;AGILE MASTER;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25022;1410.0;COORDENADOR CONTABIL-FISCAL;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25023;1410.0;GERENTE DE OPERACOES II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25050;1410.0;DESENVOLVEDOR III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25081;1410.0;EXECUTIVO DE CONTAS III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25163;1410.0;COORDENADOR DE BPO;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25165;1410.0;ANALISTA DE PMO II;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25203;1410.0;GERENTE DE OPERACOES I;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
25251;1410.0;ANALISTA DE FINANCAS III;Trabalhando;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;;;;;;Sim;;Rio Grande do Sul;R$ 35.00;21.0;True;21.0
