matricula,empresa,titulo_do_cargo,desc_situacao,sindicato,dias_de_ferias,data_demissao,data_admissao,cargo_admissao,estado_sindicato,valor_sindicato,dias_uteis
20792,1410,GERENTE DE OPERACOES II,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
21151,1410,ANALISTA DE SISTEMAS E NEGOCIOS III,Auxílio Doença,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
21827,1410,DESENVOLVEDOR III,Trabalhando,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.,,,,,,,22
23499,1410,COORDENADOR FINANCEIRO,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
23836,1410,GERENTE DE OPERACOES I,Trabalhando,SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO,,,,,Rio de Janeiro,R$ 35.00,21
24122,1410,GERENTE CONTABIL-FISCAL,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24316,1410,ARQUITETO DE SOFTWARE II,Trabalhando,SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA,,,,,,,22
24401,1410,COORDENADOR ADMINISTRATIVO,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24442,1410,ANALISTA DE SISTEMAS E NEGOCIOS II,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24472,1410,DELIVERY MANAGER,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24475,1410,ANALISTA DE SISTEMAS E NEGOCIOS II,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24490,1410,DESENVOLVEDOR III,Trabalhando,SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO,,,,,Rio de Janeiro,R$ 35.00,21
24505,1410,DESENVOLVEDOR III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24511,1410,CONSULTOR FUNCIONAL SAP III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24561,1410,COORDENADOR DE OPERACOES I,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24685,1410,EXECUTIVO DE CONTAS III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24715,1410,CONSULTOR FUNCIONAL SAP III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24778,1410,GERENTE DE PROJETOS II,Trabalhando,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.,,,,,,,22
24820,1410,EXECUTIVO DE CONTAS ESPECIALISTA,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
24899,1410,AGILE MASTER,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25022,1410,COORDENADOR CONTABIL-FISCAL,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25023,1410,GERENTE DE OPERACOES II,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25050,1410,DESENVOLVEDOR III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25081,1410,EXECUTIVO DE CONTAS III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25163,1410,COORDENADOR DE BPO,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25165,1410,ANALISTA DE PMO II,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25203,1410,GERENTE DE OPERACOES I,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25233,1410,ANALISTA DE SUPORTE II,Auxílio Doença,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25251,1410,ANALISTA DE FINANCAS III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25290,1410,EXECUTIVO DE CONTAS III,Trabalhando,SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA,,,,,,,22
25294,1410,GERENTE DE OPERACOES I,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
25310,1410,ESPECIALISTA DE DADOS I,Férias,SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO,5,,,,Rio de Janeiro,R$ 35.00,21
